Type,Name,Desc,Price
Armagnac,1988 Darroze Domaine Pounon Bas Armagnac (750ml),  ,$149.99 
Armagnac,1967 Darroze Domaine Bellair 50 Year Old Vintage Cask Strength Armagnac (750ml)," 
                                                        What Marc Darroze's family has created is a negotiant Armagnac house with a number of these small producers where, in exchange for a large percentage of the distillate, they come and do the actual distillation at each farm. The result is vast library of casks and vintages from which they can blend or bottle single vintage, single estate expressions as needed. Needless to say, no one in the world has an inventory of Armagnac as deep or as eclectic as Darroze. This new set of vintage brandies is all the evidence you need.  This 50 year old is a brandy thro...
                                                        Read More » 
 Read More » ",$299.99 
Armagnac,1977 Darroze Domaine Poste 40 Year Old Vintage Cask Strength Armagnac (750ml)," 
                                                        What Marc Darroze's family has created is a negotiant Armagnac house with a number of these small producers where, in exchange for a large percentage of the distillate, they come and do the actual distillation at each farm. The result is vast library of casks and vintages from which they can blend or bottle single vintage, single estate expressions as needed. Needless to say, no one in the world has an inventory of Armagnac as deep or as eclectic as Darroze. This 1977 vintage edition has tons of clove, cinnamon, richness from the fruit base, dried fruit,...
                                                        Read More » 
 Read More » ",$179.99 
Armagnac,1986 Domaine Boingnères Folle Blanche Bas-Armagnac (750ml)," 
                                                        When discussing the components of a great brandy, the soil is just as important an indicator of quality as it is to a great wine.  Boingnères grows all their fruit in a majority of sand and limestore--the absolute best makeup for producing fantastic grapes. Run by Martòn Lafite, of the esteemed Château Lafite family, the Domaine also owns their own still (rather than hiring someone to bring them a still like many producers do) so they have been familiar with the workings of their distillation for decades. The single vintage Folle Blanche expression uses ...
                                                        Read More » 
 Read More » ",$249.99 
Armagnac,Cyrano 25 Year Old Armagnac (750ml)," 
                                                        Created by brothers in law who fell in love with Gascogne, Cyrano is a modern twist on the traditional negociante style brandy. The story begins when Cesar, Cyrano's co-founder and former CEO of a French tech company, decided to change paths and purchase a house for his family in the far flung Margouret-Meymes commune of Armagnac. His love for the region, history and its special brandy grew and approached his brother in law Gianni, Sommelier and owner of the famous LA restaurant Madeo about getting into the business. The identified a need for high qualit...
                                                        Read More » 
 Read More » ",$119.99 
Armagnac,Cles Des Ducs XO Bas-Armagnac (750ml), Special Order Only!  Special order items are not in stock and are dependent upon quantity available from distribution. All special orders are final and non-refundable. Will take 3-7 business days to receive this product before it can be shipped. ,$99.99 
Armagnac,Cles Des Ducs Napoleon Bas-Armagnac (750ml), Special Order Only!  Special order items are not in stock and are dependent upon quantity available from distribution. All special orders are final and non-refundable. Special order items are not in stock and are dependent upon quantity available from distribution. All special orders are final and non-refundable. Will take 3-7 business days to receive this product before it can be shipped. ,$69.99 
Armagnac,"Chateau Arton ""La Reserve"" Haut-Armagnac (750ml)",  ,$69.99 
Armagnac,1971 Darroze Domaine de Gaube Bas Armagnac (750ml),  ,$249.99 
Armagnac,1981 Darroze Couilleron Bas Armagnac (750ml), Special Order Only!  Will take 7-10 business days before product can be shipped! ,$179.99 
Armagnac,1954 Laberdolive' Domaine du Jaurrey Bas-Armagnac,  ,$999.99 
Armagnac,Cles Des Ducs VSOP Bas-Armagnac (750ml), Special Order Only!  Special order items are not in stock and are dependent upon quantity available from distribution. All special orders are final and non-refundable. Will take 3-7 business days to receive this product before it can be shipped. ,$44.99 
Armagnac,"Dartigalongue ""Grand Eau-de-Vie d""Armagnac"" Bas-Armagnac (750ml)"," This exceptional Armagnac is the result of decades of work in the cellars at Dartigalongue. This single barrel of Armagnac is a mingling of Eau-de-vie with a minimum of 25 years, but includes Eau-de-vie decades older. As liquid is drawn from the barrel old stocks are added to replenish the blend. The mini-solera results in one of the most complex and delicious old Armagnacs on the shelf. Dollar for dollar one of the best drinking experiences in the store bar none. ",$109.99 
Armagnac,1893 JOY Millésime Armagnac (750ml), Special Order Only!  Special order items are not in stock and are dependent upon quantity available from distribution. All special orders are final and non-refundable. Will take 14 days to receive this product before it can be shipped.  ONLY 28 bottles available ,"$6,499.99 "
Armagnac,1900 JOY Millésime Bas-Armagnac (750ml)," 
                                                        Special Order Only! Special order items are not in stock and are dependent upon quantity available from distribution. All special orders are final and non-refundable.  Will take 14 days to receive this product before it can be shipped. The Gessler Family has been producing exceptional brandy for many generations and we have tasted a few fantastic examples from independant bottlers like Darroze.  Now, their intense commitment to perfection has culminated in the release of this impeccably packaged collection of their finest blends and select vintage Armagn...
                                                        Read More » 
 Read More » ","$5,799.99 "
Armagnac,1936 JOY Millésime Bas-Armagnac (750ml)," 
                                                        Special Order Only!  Special order items are not in stock and are dependent upon quantity available from distribution. All special orders are final and non-refundable. Will take 14 days to receive this product before it can be shipped. The Gessler Family has been producing exceptional brandy for many generations and we have tasted a few fantastic examples from independant bottlers like Darroze.  Now, their intense commitment to perfection has culminated in the release of this impeccably packaged collection of their finest blends and select vintage Armagn...
                                                        Read More » 
 Read More » ","$1,649.99 "
Armagnac,1917 JOY Millésime Bas-Armagnac (750ml)," 
                                                        Special Order Only! Special order items are not in stock and are dependent upon quantity available from distribution. All special orders are final and non-refundable. Will take 14 days to receive this product before it can be shipped. The Gessler Family has been producing exceptional brandy for many generations and we have tasted a few fantastic examples from independant bottlers like Darroze.  Now, their intense commitment to perfection has culminated in the release of this impeccably packaged collection of their finest blends and select vintage Armagna...
                                                        Read More » 
 Read More » ","$3,799.99 "
Armagnac,1927 JOY Millésime Bas-Armagnac (750ml)," 
                                                        Special Order Only! Special order items are not in stock and are dependent upon quantity available from distribution. All special orders are final and non-refundable. Will take 14 days to receive this product before it can be shipped. The Gessler Family has been producing exceptional brandy for many generations and we have tasted a few fantastic examples from independant bottlers like Darroze.  Now, their intense commitment to perfection has culminated in the release of this impeccably packaged collection of their finest blends and select vintage Armagna...
                                                        Read More » 
 Read More » ","$2,599.99 "
Armagnac,1949 JOY Millésime Bas-Armagnac (750ml)," 
                                                        Special Order Only!  Special order items are not in stock and are dependent upon quantity available from distribution. All special orders are final and non-refundable. Will take 14 days to receive this product before it can be shipped. The Gessler Family has been producing exceptional brandy for many generations and we have tasted a few fantastic examples from independant bottlers like Darroze.  Now, their intense commitment to perfection has culminated in the release of this impeccably packaged collection of their finest blends and select vintage Armagn...
                                                        Read More » 
 Read More » ","$1,149.99 "
Armagnac,1888 JOY Millésime Bas-Armagnac (750ml)," 
                                                        Special Order Only! Special order items are not in stock and are dependent upon quantity available from distribution. All special orders are final and non-refundable. Will take 14 days to receive this product before it can be shipped. The Gessler Family has been producing exceptional brandy for many generations and we have tasted a few fantastic examples from independant bottlers like Darroze.  Now, their intense commitment to perfection has culminated in the release of this impeccably packaged collection of their finest blends and select vintage Armagna...
                                                        Read More » 
 Read More » ","$6,999.99 "
Armagnac,1929 JOY Millésime Bas-Armagnac (750ml)," 
                                                        Special Order Only! Special order items are not in stock and are dependent upon quantity available from distribution. All special orders are final and non-refundable. Will take 14 days to receive this product before it can be shipped. The Gessler Family has been producing exceptional brandy for many generations and we have tasted a few fantastic examples from independant bottlers like Darroze.  Now, their intense commitment to perfection has culminated in the release of this impeccably packaged collection of their finest blends and select vintage Armagna...
                                                        Read More » 
 Read More » ","$2,549.99 "
Armagnac,1946 JOY Millésime Bas-Armagnac (750ml)," 
                                                        Special Order Only! Special order items are not in stock and are dependent upon quantity available from distribution. All special orders are final and non-refundable. Will take 14 days to receive this product before it can be shipped. The Gessler Family has been producing exceptional brandy for many generations and we have tasted a few fantastic examples from independant bottlers like Darroze.  Now, their intense commitment to perfection has culminated in the release of this impeccably packaged collection of their finest blends and select vintage Armagna...
                                                        Read More » 
 Read More » ","$1,479.99 "
Armagnac,1952 JOY Millésime Bas-Armagnac (750ml)," 
                                                        Special Order Only!  Special order items are not in stock and are dependent upon quantity available from distribution. All special orders are final and non-refundable. Will take 14 days to receive this product before it can be shipped. The Gessler Family has been producing exceptional brandy for many generations and we have tasted a few fantastic examples from independant bottlers like Darroze.  Now, their intense commitment to perfection has culminated in the release of this impeccably packaged collection of their finest blends and select vintage Armagn...
                                                        Read More » 
 Read More » ","$1,099.99 "
Armagnac,1935 JOY Millésime Bas-Armagnac (750ml)," 
                                                        Special Order Only!  Special order items are not in stock and are dependent upon quantity available from distribution. All special orders are final and non-refundable. Will take 14 days to receive this product before it can be shipped. The Gessler Family has been producing exceptional brandy for many generations and we have tasted a few fantastic examples from independant bottlers like Darroze.  Now, their intense commitment to perfection has culminated in the release of this impeccably packaged collection of their finest blends and select vintage Armagn...
                                                        Read More » 
 Read More » ","$1,624.99 "
Bourbon,"Maker's Mark ""K&L Exclusive"" Private Select Kentucky Bourbon (750ml)"," 
                                                        Maker's Mark 46 Cask Strength Private Select is BACK! We've been incredibly successful with the exciting program from our friends in Loretto. Usually bourbon ""innovation"" is a category I like to avoid, but Maker's Mark is pushing the limits of tradition with this unique program. Adding specially toasted staves to cask strength Maker's barrels? Why adulterate such a perfect thing? The reasoning from Loretto was that the consistency between casks due to Maker's Mark's special warehouse management negated much of the excitement of a standard single barrel p...
                                                        Read More » 
 Read More » ",$69.99 
Bourbon,Rebel Yell Straight Kentucky Bourbon (750ml)," Rebel Yell is a value-priced wheated bourbon that comes from one of Kentucky's largest producers located in Bardstown. For the price, it's an absolute no-brainer. Smooth, spicy, and easy to love! ",$12.99 
Bourbon,Buffalo Trace Kentucky Straight Bourbon Whiskey (750ml) (Previously $25),"92 points Wine Enthusiast: ""*Best Buy* A good workhorse for all manner of cocktails, this bright amber Bourbon has a butterscotch aroma and oaky, relatively dry flavors that elongate into a rich caramel finish."" (7/2013) 90 points Whisky Advocate: ""Light bronze color. Thick, mature aromas, with notes of subtle spice (vanilla, mint), toffee, light molasses and leather. Adding a little water revealing notes of teaberry, anise, and dark candied fruit. Pleasantly sweet at first in flavor, with notes of brown sugar and spice (vanilla, mint), becoming dry with enveloping flavors of oak and leather. With a little wate  ...Read More » ",$19.99 
Bourbon,"Four Roses K&L Exclusive OESK (9 Years Old, 7 Months) Single Barrel Cask Strength Bourbon Whiskey (750ml)"," 
                                                        This great little OESK is the most familiar of this round of casks. This recipe is almost always one of my favorites and shows up in the standard Small Batch in a big way. The nose on this one reminded me alot of this years Limited Edition Small Batch with tons of orange liqueur, stone fruits, sweet corn, menthol and oak spice. After the high proof of the other two this one starts easy and hints that it will be sweet and easy, thanks to the opulent nose and the easy entry. But the finish goes in a different direction completely, building a big warming sp...
                                                        Read More » 
 Read More » ",$64.99 
Bourbon,Eagle Rare 10 Year Old Kentucky Straight Bourbon Whiskey (750ml)," Wine Enthusiast: ""*Best Buy*  Ten years of barrel time has created a concentrated caramel scent and palate spiked with sarsaparilla and allspice, finishing spicy and quite hot, with a fleeting orange peel note. Balances with a bit of branchwater, but needs a light touch. (KN)"" (7/2015) K&L Notes:  
                                                        Buffalo Trace was named Distiller of the Year by Whisky Magazine in 2005 and 2007 and by the Wine Enthusiast in 2006. Paul Pacult of the The Spirit Journal gave it four stars and said: ""Easily one of the most tactile yet assertive and expressive bourbons I've tasted in the last two years; fas...
                                                        Read More » 
 Read More » ",$25.99 
Bourbon,Henry McKenna 10 Year Old Bottled in Bond Straight Kentucky Bourbon Whiskey (750ml) (Elsewhere $32),"92 points Wine Enthusiast: ""The bouquet features smells of new car leather, breakfast cereal, cornmeal, pepper and hemp. Entry is nicely sweet and intensely grainy; the midpalate is the high point as the taste profile expands to include semisweet flavors of caramel corn, toasted marshmallow, dried fruit and chocolate covered cherry. Concludes oaky sweet and chewy."" (12/2008) 90 points Whisky Advocate: ""One of the few remaining age-stated bourbons. Henry McKenna’s color is beautiful. You can hold it up in sunset light and just enjoy the russet and amber hues reflecting. Sweetness, savory, and floral fragrances f ...Read More » ",$29.99 
Bourbon,"Old Forester K&L Exclusive Single Barrel #3650 (7th Floor, Warehouse B) Straight Kentucky Bourbon Whisky (750ml)"," 
                                                        The final cask from our selection last October at the old factory on the outskirts of Louisville. I've always wondered why Brown-Forman kept this special place all hidden away from the public since it's so close to one of the most important Bourbon capitals and there are no big public distilleries around. I suppose they want push us toward the polished Woodford facility outside Lexington because the Old Forester distillery is anything but polished. The sense of history and authenticity is second to none in the great Bluegrass state. They're also making s...
                                                        Read More » 
 Read More » ",$39.99 
Bourbon,"Wathen’s Private Barrel #59 ""K&L Exclusive"" Single Barrel Straight Kentucky Bourbon (750ml)"," 
                                                        Here's another stupendous cask from our friends at Wathen's. If you don't already know, Wathen's (bottled by father and son team Charles & Sam Medley) is one of the country's most well respected non-distillery producers. We refer to them as non-distillery producer rather than non-distiller producer because of course Charles Medley is one of Kentucky's most well respected distillers. He had decades of experience running the old Owensboro plant, before moving toward contract production. That means he's got a special relationship with his contracted produce...
                                                        Read More » 
 Read More » ",$39.99 
Bourbon,Booker's Kentucky Straight Bourbon Whiskey (750ml),"95 points Wine Enthusiast: ""This uncut, barrel-strength bourbon is bold and flavorful. The caramel aroma is rich and luxe. On the palate, it’s quite tannic and drying, but the flavor shines through, showing toffee, caramel and dried cherry, with a spicy finish of clove, dried fig and date. The alcohol feels remarkably balanced despite the high proof. It needs no adornment: just add a chunk of ice and enjoy. (KN)"" (9/2014) 91 points Whisky Advocate: ""If Picasso sketched bourbon, it would look like Booker’s, with deep golden and auburn hues. But higher-proof color can deceive. Not here. Think bourbon warehouse: o  ...Read More » ",$49.99 
Bourbon,Four Roses Yellow Label Kentucky Bourbon (750ml),"93 points Wine Enthusiast: ""*Best Buy* This mellow Bourbon is scented with vanilla and a hint of stone fruit. On the palate it's light and creamy, with nuanced notes of vanilla, almond and pecan, plus a gentle baking-spice finish. Sip or mix. (KN)"" (9/2016)  Wine Spectator: ""The nose is standard Bourbon: corn, vanilla, with notes of mint and oak dryness. On the palate, there's more corn, vanilla and a bit of cocoa; the mint is more pronounced. The finish shows off the oak. Simple, straightforward, unpretentious."" (2/2012) K&L Notes:  
                                                        **World Whisky Award Winner: Best Bourbon 7 Years and Under (2010)**  **Malt Advoc...
                                                        Read More » 
 Read More » ",$15.99 
Bourbon,"Four Roses ""Single Barrel"" 100 Proof Kentucky Straight Bourbon Whiskey (750ml)","94 points Wine Enthusiast: ""*Best Buy*  This complex whiskey has a bold caramel aroma and, at 100 proof, an unsurprising hit of alcohol heat. Balanced with a bit of water, the caramel palate shows zesty orange peel, espresso, maple and clove. The long finish is bracing and drying, with leather and oak, plus flickers of citrus and spice. (KN)"" (9/2016) 92 points Whisky Advocate: ""A fuller-bodied, sweeter encounter than Barrel #55-6F reviewed below. More rounded and even-keeled throughout, too! Chewy toffee, rummy molasses, and nougat, with underlying notes of dark, berried fruit, accentuating spice, and supple l  ...Read More » ",$34.99 
Bourbon,Angel's Envy 86 Proof Kentucky Straight Bourbon Whiskey (750ml),"98 points Wine Enthusiast: ""A beautiful, mouthwatering newcomer to the whiskey scene. Named for the 'angel’s share,' the portion that evaporates from the barrel during the aging process, this golden amber spirit is finished in Port barrels, which explains those juicy red-fruit notes that slide into the long finish. Look for orange peel, vanilla and roasted nut flavors, too.  (KN)"" (7/2012) 93 points Whisky Advocate: ""Kentucky straight bourbon whiskey finished in a port pipe. This is veteran master distiller Lincoln Henderson’s newest creation, and it's a beauty. Richly textured, silky, and well-rounded, with ri ...Read More » ",$36.99 
Bourbon,Knob Creek K&L Exclusive Single Barrel #5851 Kentucky Straight Rye Whiskey (750ml)," 
                                                        The fabulous new single barrel offering from Knob Creek is truly in a class of its own. Very different in character than the standard single barrel rye, we were extremely happy to see that they'd be bottling it near cask strength at 115 proof. It's hard to pinpoint exactly what the various differences between Jim Beam's Rye offerings but presumably this is the same recipe as both the new Prohibition and the old school Overholt, although some reports have it listed at 55% Rye, 35% Corn, and 10% Malt. Beam is very ginger about exactly what goes into these ...
                                                        Read More » 
 Read More » ",$47.99 
Bourbon,"Russell's Reserve ""Small Batch"" 10 Year Old Kentucky Straight Bourbon Whiskey (750ml)","92 points Wine Enthusiast: ""From Master Distiller Jimmy Russell and his son Eddie Russell, this tawny and full-bodied whiskey evolves on the palate. At first, it features orange peel, vanilla and caramel, then dry leather and cocoa notes midpalate, and finishes long and lean with clove and allspice accents. Dilute to taste, sip slowly and consider all the complex flavors. (KN)"" (7/2013) K&L Notes:  
                                                        The Russell's Reserve Small Batch Bourbon was developed by Wild Turkey Distillery's Master Distiller Jimmy Russell and his son Eddie. Initially a limited edition release, the Russell's Reserve is now ...
                                                        Read More » 
 Read More » ",$27.99 
Bourbon,Woodford Reserve Kentucky Straight Bourbon Whiskey (750ml) (ships in a magnum box) (Elsewhere $30),"93 points Wine Enthusiast: ""Look for a gorgeous copper hue with orange highlights, a butterscotch-like aroma and soft feel. This Bourbon offers lots of fruit on the palate--orange, apricot, tropical fruit--that finish long, with caramel and a bracing burnt-orange peel note. (KN)"" (9/2014)  Wine Spectator: ""The dry, spicy, almost austere nose has a promising note of corn, and it delivers on the palate: sweet corn, berries and apricot, a touch of leather and cinnamon, with a bright, spicy finish. A mix of pot-still and column-still whiskeys."" (2/2012) K&L Notes:  
                                                        *Double Gold Medal* at the 2013 San Francisco World Sp...
                                                        Read More » 
 Read More » ",$26.99 
Bourbon,Michter's US #1 Small Batch Bourbon (750ml)," 90-95 points Wine Enthusiast: ""The bouquet has a dry, grainy aroma which is accented by peppery/spicy scents. The palate entry is surprisingly sweet and corny, considering how dry the aroma is; the midpalate point is deep, corny sweet, sap-like and a bit syrupy. Ends up well and balanced, with a backnote of dried red fruit (raisins, prunes). *Superb/Highly Recommended*"" (12/2007) K&L Notes:  
                                                        The Michter's name has been synonymous with great whisky since the 1950s. While the famous whiskey is no longer distilled at the famous Schaefferstown Distillery in Pennsylvania, the legacy lives on. Current ow...
                                                        Read More » 
 Read More » ",$35.99 
Bourbon,David Nicholson 1843 100 Proof Kentucky Bourbon (750ml)," 
                                                        I put a few glasses of the David Nicholson 1843 in the hands of my assistants here at K&L and told them it was a sample from a new Weller 107 single barrel that I had just purchased. Their eyes lit up and not one of them assumed the whiskey wasn't what I said it was. In fact, they were downright stoked about the quality. Then I immediately confessed. Alas, it was not Weller 107, but rather a new 100 proof wheated Bourbon from Luxco, the folks behind Rebel Yell and Ezra Brooks. How much would it cost, they asked? A cool $26.99, I replied. The nose is an a...
                                                        Read More » 
 Read More » ",$26.99 
Bourbon,"Elijah Craig ""Small Batch"" Kentucky Straight Bourbon Whiskey (750ml)","91 points Whisky Advocate: ""Subtly complex and nicely rounded. A bed of sweetness (caramel, vanilla) peppered with honey-kissed fruit, golden raisin, and a hint of marzipan. Pleasing oak grip and dried spice on the finish. A great value for such a high-quality bourbon. (JH, Spring 2017)"" K&L Notes:  Coming from the great master distiller Parker Beam, the Elijah Craig bourbon has to be one of the best-value bourbons on the market!  Great balance of sweetness and spice.  Also, at 94 proof, it has just the right amount of kick. ",$24.99 
Bourbon,Basil Hayden's Kentucky Bourbon (750ml),"93 points Wine Enthusiast: ""Complex and balanced, this go-to Bourbon features vanilla aromatics with a touch of fresh apple. On the palate, it's light at first, showing vanilla and honey, and winds into deeper, rounded notes of cocoa and hazelnut. Splash in ginger ale for a highball and sip all night long. *Best Buy* (KN)"" (7/2015)  Whisky Advocate: ""Interesting that the label says “Artfully Aged,” yet there’s no actual age statement. Lively nose, good rye snap and spice, a bit of mint and oaky edge. Not hot, well-behaved on the tongue, and happily gives back everything taken on the nose. Sweet, spicy, ...Read More » ",$36.99 
Bourbon,Blood Oath Pact #4 Bourbon (750ml),  ,$99.99 
Bourbon,Four Roses Small Batch Bourbon (750ml),"91 points Wine Enthusiast: ""This skillfully blended Bourbon has a gentle vanilla fragrance and plenty of vanilla, pecan pie, maple sugar, oak and lemon-peel flavor. (KN)"" (9/2016)  Whisky Advocate: ""A soft, delicate bourbon -- especially when compared to its single barrel siblings here. Subtle notes of candied fruit and creamy sweet notes (vanilla, coconut, light toffee, and caramel corn) are nicely interwoven. Some integrated, gently-dried spice dances throughout and lingers on the finish. An easy-to-embrace bourbon with nice balance. (Vol. 16, #4)"" K&L Notes:  
                                                        Named American Whiskey Distiller of the Year 2010, 201...
                                                        Read More » 
 Read More » ",$26.99 
Bourbon,"Old Forester ""1920 Prohibition Style"" Kentucky Bourbon Whisky (750ml)","91 points Wine Enthusiast: ""The perfect proof. Rich in color, aroma, and flavor. It begins with powerful caramel, baking spice, chocolate, cherries, cinnamon, and toffee. Then nuance and complexity. Honey, jalapeño, rosemary, crème brûlée, malt, and fruit, from the spicy citrus of grapefruit to prunes and dried apricots. Hard to believe this is over 100 proof, as you never sense the strength challenging you to find what’s next amidst the subtlety. Extremely long finish with cherry, cinnamon, and caramel. Value Pick. (FM, Winter 2016)"" K&L Notes:  
                                                        As one of the few distilleries allowed to remain ...
                                                        Read More » 
 Read More » ",$54.99 
Bourbon,"High West ""Bourye"" Bourbon-Rye Whiskey (750ml)","96 points Wine Enthusiast: ""The 2017 limited edition release of this bourbon-rye blend, all a minimum of 10 years old, perfectly balances sweetness and spice. Rich caramel and brown sugar lead on the nose and palate, finishing with clove, nutmeg and cinnamon sizzle, plus a hint of orange peel. (KN)"" (7/2017) 92 points Whisky Advocate: ""Straight bourbon and rye whiskeys aged from 10 to 14 years, this nicely balances its dry oak, almost cedary, aromas with bourbon sweetness and a rye finish. The initial hit of orange peel, caramel, and vanilla flan yields to a spicy finish of lemon zest, peppercorns, and ginger.  ...Read More » ",$69.99 
Bourbon,David Nicholson Reserve 100 Proof Kentucky Bourbon (750ml)," 
                                                        The Nicholson Reserve Kentucky Bourbon is a classic corn/rye mashbill Bourbon also at 100 proof. Basically, if you liked our 100 proof Faultline release from a few years back, this is like a baby version for a $12 discount. There are some great herbaceous accents, lots of pepper from the rye, and a gush of savory notes on the finish, but again the texture is the real star. The nose is brimming with toasted wood and the 50% ABV really dials up all that oak from front to back. The Nicholson Reserve at $32.99 is like the perfect middleground between the sta...
                                                        Read More » 
 Read More » ",$32.99 
Bourbon,"Bulleit ""Frontier"" Kentucky Straight Bourbon Whiskey (750ml)","93 points Wine Enthusiast: ""This workhorse Bourbon is a worthwhile addition for cocktails or straight-up sips. Look for bold caramel and spice, accented with fresh pear and ginger, finishing long. *Best Buy* (KN)"" (9/2016)  Whisky Advocate: ""Soft, elegant, and nicely rounded, with honeyed orchard fruit and gentle spice on a bed of vanilla and caramel. Very versatile; a pleasing, unchallenging bourbon to suit most moods and situations. I actually like it better than the new, older 10 year old expression (reviewed in this issue), because it is so beautifully balanced. (JH, Summer 2013)""  Wine Spectator: ""Bulleit has a high  ...Read More » ",$22.99 
Bourbon,"John E. Fitzgerald ""Larceny"" Small Batch Kentucky Straight Bourbon Whiskey (750ml)","93 points Wine Enthusiast: ""*Best Buy* This small-batch bourbon uses wheat in place of rye to create a soft, rounded character. The mild crème brulee aroma leads into sasparilla and creamy caramel flavors. At 92 proof, it’s a wonder that the alcohol feels so moderate, but it makes its presence known in the cinnamon-firework finish. Attractive bottle design with clever keyhole label. (KN)"" (7/2013)  Whisky Advocate: ""A new wheated bourbon from Heaven Hill, using wheat instead of rye in the mashbill, resulting in a smooth, easygoing whiskey. Layers of sweetness (creamy vanilla, maple syrup, marzipan) com ...Read More » ",$21.99 
